"Reference","Qty","Value","Footprint","manf#","JLCPCB Part #"
"C1,C3,C6,C19,C21,C25,C32,C34,C35","9","100n","Capacitor_SMD:C_0805_2012Metric","CL21B104KBCNNNC","C1711"
"C2","1","2.2µ","Capacitor_SMD:C_0805_2012Metric","CL21B225KAFNNNE","C19110"
"C4,C9,C10,C12,C18","5","10µ","Capacitor_SMD:C_0805_2012Metric","CL21B106KPQNNNE","C32635"
"C5,C8,C14,C15,C16,C17,C31,C37","8","1µ","Capacitor_SMD:C_0805_2012Metric","CL21B105KAFNFNE","C1712"
"C11","1","4.7µ","Capacitor_SMD:C_0805_2012Metric","C2012X7R1A475KT000N","C76639"
"C13","1","47n","Capacitor_SMD:C_0805_2012Metric","0805B473K500NT","C1745"
"C20,C23,C24,C26","4","22µ","Capacitor_SMD:C_0805_2012Metric","GRM21BZ71A226ME15L","C907991"
"C22","1","1n","Capacitor_SMD:C_0805_2012Metric","CL21B102KBCNNNC","C46653"
"D1","1","CT DBLP31.12-6C5D-56-J6U6-20-R18","Local:CTDBLP31126C5D56J6U620R18","CT DBLP31.12-6C5D-56-J6U6-20-R18","C5603826"
"D2,D3","2","SFH 7016","Local:SFH7016","SFH7016","C2900452"
"D4,D6","2","VEMD8080","Local:XDCR_VEMD8080","VEMD8080","C511402"
"IC1","1","BGA824N6E6329XTSA1","Local:BGA824N6E6329XTSA1","BGA824N6E6329XTSA1","C3191827"
"J1","1","GT-USB-7025","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","12402012E212A","C27636760"
"J2","1","S2B-PH-SM4-TB","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","S2B-PH-SM4-TB","C295747"
"J3","1","73412-0110","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical","73412-0110","C434806"
"J4","1","Conn_01x04","Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical","",""
"JP1,JP2,JP3","3","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm","",""
"L1","1","1µ","Inductor_SMD:L_0805_2012Metric","MLP2012S1R0MT0S1","C383371"
"L2","1","6.8n","Inductor_SMD:L_0805_2012Metric","LQW2BAS6N8J00L","C701176"
"MT1","1","ICM-42670-P","Local:XDCR_ICM-42670-P","ICM-42670-P","C3288646"
"Q1","1","RE1C002UNTCL","Package_TO_SOT_SMD:SOT-416","RE1C002UNTCL","C509959"
"R1,R2","2","5.1k","Resistor_SMD:R_0805_2012Metric","0805W8F5101T5E","C27834"
"R3,R4,R5,R6,R29","5","10k","Resistor_SMD:R_0805_2012Metric","RK73H2ATTD1002F","C276215"
"R7,R8","2","100k","Resistor_SMD:R_0805_2012Metric","RC0805FR-07100KL","C25271"
"SW1,SW2","2","EVQP7A01P","Button_Switch_SMD:SW_SPST_EVQP7A","EVQP7A01P","C79167"
"SYM1","1","https://github.com/Philippe12/HorseSense","Symbol:OSHW-Symbol_13.4x12mm_SilkScreen","",""
"TP1","1","Mire1_Top","TestPoint:TestPoint_Pad_D1.0mm","",""
"TP2","1","Mire2_Top","TestPoint:TestPoint_Pad_D1.0mm","",""
"TP3","1","Mire1_Bot","TestPoint:TestPoint_Pad_D1.0mm","",""
"TP4","1","Mire2_Bot","TestPoint:TestPoint_Pad_D1.0mm","",""
"U1","1","MAX86141ENP+T","Local:21-100134_N201A2-1_MXM","MAX86141ENP+T","C5328762"
"U2","1","TXB0304RUTR","Package_DFN_QFN:Texas_R-PUQFN-N12","TXB0304RUTR","C69598"
"U3","1","BQ25601","Package_DFN_QFN:Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias","BQ25601DRTWR","C2859691"
"U4","1","XC6210B332MR","Package_TO_SOT_SMD:SOT-23-5","XC6210B332MR","C424705"
"U5","1","XC6210B182MR","Package_TO_SOT_SMD:SOT-23-5","XC6210B182MR","C2983925"
"U6","1","MAX4740ETE_","Local:QFN50P300X300X80-17N","MAX4740ETE/+","C1527301"
"U8","1","MX25L3233FM2I-08G","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","MX25L3233FM2I-08G","C190802"
"U9","1","ESP32-S3-WROOM-1-N16R8","RF_Module:ESP32-S3-WROOM-1","ESP32-S3-WROOM-1-N16R8","C2913202"
"U10","1","MAX-M8Q","RF_GPS:ublox_MAX","MAX-M8Q","C6898733"
