Comment,Designator,Footprint,LCSC,Quantity
100k,"R7,R8",R_0805_2012Metric,C25271,2
100n,"C1,C19,C21,C25,C3,C32,C34,C35,C6",C_0805_2012Metric,C1711,9
10k,"R29,R3,R4,R5,R6",R_0805_2012Metric,C276215,5
10µ,"C10,C12,C18,C4,C9",C_0805_2012Metric,C32635,5
1n,C22,C_0805_2012Metric,C46653,1
1µ,"C14,C15,C16,C17,C31,C37,C5,C8",C_0805_2012Metric,C1712,8
1µ,L1,L_0805_2012Metric,C383371,1
2.2µ,C2,C_0805_2012Metric,C19110,1
22µ,"C20,C23,C24,C26",C_0805_2012Metric,C907991,4
4.7µ,C11,C_0805_2012Metric,C76639,1
47n,C13,C_0805_2012Metric,C1745,1
5.1k,"R1,R2",R_0805_2012Metric,C27834,2
6.8n,L2,L_0805_2012Metric,C701176,1
73412-0110,J3,U.FL_Molex_MCRF_73412-0110_Vertical,C434806,1
BGA824N6E6329XTSA1,IC1,BGA824N6E6329XTSA1,C3191827,1
BQ25601,U3,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,C2859691,1
CT DBLP31.12-6C5D-56-J6U6-20-R18,D1,CTDBLP31126C5D56J6U620R18,C5603826,1
ESP32-S3-WROOM-1-N16R8,U9,ESP32-S3-WROOM-1,C2913202,1
EVQP7A01P,"SW1,SW2",SW_SPST_EVQP7A,C79167,2
GT-USB-7025,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C27636760,1
ICM-42670-P,MT1,XDCR_ICM-42670-P,C3288646,1
MAX-M8Q,U10,ublox_MAX,C6898733,1
MAX4740ETE_,U6,QFN50P300X300X80-17N,C1527301,1
MAX86141ENP+T,U1,21-100134_N201A2-1_MXM,C5328762,1
MX25L3233FM2I-08G,U8,SOIC-8_5.3x5.3mm_P1.27mm,C190802,1
RE1C002UNTCL,Q1,SOT-416,C509959,1
S2B-PH-SM4-TB,J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747,1
SFH 7016,"D2,D3",SFH7016,C2900452,2
TXB0304RUTR,U2,Texas_R-PUQFN-N12,C69598,1
VEMD8080,"D4,D6",XDCR_VEMD8080,C511402,2
XC6210B182MR,U5,SOT-23-5,C2983925,1
XC6210B332MR,U4,SOT-23-5,C424705,1
