Designator,Mid X,Mid Y,Rotation,Layer
C1,8.26,31.18,90.0,top
C10,16.65,9.0,0.0,top
C11,7.11,1.44,180.0,top
C12,12.33,9.11,180.0,top
C13,8.1,3.79,0.0,top
C14,2.88,3.37,180.0,top
C15,3.79,10.51,0.0,top
C16,27.6075,32.34,180.0,top
C17,23.4,37.76,90.0,top
C18,20.81,24.22,0.0,top
C19,20.78,20.16,0.0,top
C2,5.37,33.66,180.0,top
C21,5.21,20.86,0.0,top
C22,5.0,18.28,0.0,top
C24,8.06,57.9,90.0,top
C25,5.94,57.92,90.0,top
C3,13.88,38.78,180.0,top
C31,2.96,28.42,180.0,top
C32,13.89,36.74,180.0,top
C33,17.33,11.77,0.0,top
C34,27.02,15.43,180.0,top
C35,20.79,22.19,0.0,top
C37,8.1,54.39,270.0,top
C4,20.74,36.09,90.0,top
C5,18.7,30.63,0.0,top
C6,13.89,34.51,180.0,top
C7,13.89,32.43,180.0,top
C8,15.1,1.47,0.0,top
C9,11.08,1.94,270.0,top
D1,15.0,30.45,0.0,bottom
D2,15.0,22.98,0.0,bottom
D3,15.0,15.58,0.0,bottom
D4,15.0,19.28,270.0,bottom
D6,15.0,26.72,270.0,bottom
IC1,1.97,22.42,90.0,top
J1,3.69,41.13,270.0,top
J3,3.25,14.21,180.0,top
L1,9.43,6.28,180.0,top
L2,2.1,18.89,270.0,top
MT1,5.3625,31.01,0.0,top
R1,1.94,47.61,180.0,top
R2,4.7,48.25,90.0,top
R29,6.04,54.42,90.0,top
R3,18.88,2.3,90.0,top
R4,18.84,6.0025,90.0,top
R5,7.42,51.7,0.0,top
R6,7.44,49.73,0.0,top
SW1,1.755,56.97,270.0,top
SW2,1.745,51.4,270.0,top
U1,18.2,34.36,0.0,top
U10,12.93,19.98,180.0,top
U2,17.67,38.43,90.0,top
U3,14.54,5.2775,90.0,top
U4,3.85,7.1425,270.0,top
U5,27.5275,36.27,270.0,top
U8,26.085,21.3025,180.0,top
U9,19.45,53.33,0.0,top
